group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Part 1,,none,,,900050400.0,ns,1
Part 1,,none,,,925258100.0,ns,1
Part 1,,none,,,1025990400.0,ns,1
Part 1,,none,,,1003425400.0,ns,1
Part 1,,none,,,995408900.0,ns,1
Part 1,,none,,,993032400.0,ns,1
Part 1,,none,,,990874500.0,ns,1
Part 1,,none,,,924908000.0,ns,1
Part 1,,none,,,915857300.0,ns,1
Part 1,,none,,,914342500.0,ns,1
Part 1,,none,,,904132400.0,ns,1
Part 1,,none,,,900504000.0,ns,1
Part 1,,none,,,914546500.0,ns,1
Part 1,,none,,,992468400.0,ns,1
Part 1,,none,,,1009429100.0,ns,1
Part 1,,none,,,1012669400.0,ns,1
Part 1,,none,,,1008023600.0,ns,1
Part 1,,none,,,989563300.0,ns,1
Part 1,,none,,,917082500.0,ns,1
Part 1,,none,,,4511743200.0,ns,1
Part 1,,none,,,995610800.0,ns,1
Part 1,,none,,,1034133400.0,ns,1
Part 1,,none,,,1068143100.0,ns,1
Part 1,,none,,,993117000.0,ns,1
Part 1,,none,,,1025752900.0,ns,1
Part 1,,none,,,952901400.0,ns,1
Part 1,,none,,,1040858500.0,ns,1
Part 1,,none,,,902598900.0,ns,1
Part 1,,none,,,935736800.0,ns,1
Part 1,,none,,,923528800.0,ns,1
Part 1,,none,,,1005427300.0,ns,1
Part 1,,none,,,990940600.0,ns,1
Part 1,,none,,,1005150500.0,ns,1
Part 1,,none,,,1003027900.0,ns,1
Part 1,,none,,,1073200400.0,ns,1
Part 1,,none,,,928117000.0,ns,1
Part 1,,none,,,907756100.0,ns,1
Part 1,,none,,,921976400.0,ns,1
Part 1,,none,,,904222200.0,ns,1
Part 1,,none,,,951452100.0,ns,1
Part 1,,none,,,975888800.0,ns,1
Part 1,,none,,,993473700.0,ns,1
Part 1,,none,,,1013762500.0,ns,1
Part 1,,none,,,1071583900.0,ns,1
Part 1,,none,,,995335000.0,ns,1
Part 1,,none,,,941319700.0,ns,1
Part 1,,none,,,908171400.0,ns,1
Part 1,,none,,,921436600.0,ns,1
Part 1,,none,,,921866300.0,ns,1
Part 1,,none,,,938638400.0,ns,1
Part 1,,none,,,960132700.0,ns,1
Part 1,,none,,,1025582700.0,ns,1
Part 1,,none,,,1024414600.0,ns,1
Part 1,,none,,,1031636100.0,ns,1
Part 1,,none,,,1005748700.0,ns,1
Part 1,,none,,,973073900.0,ns,1
Part 1,,none,,,916505300.0,ns,1
Part 1,,none,,,901380900.0,ns,1
Part 1,,none,,,924749500.0,ns,1
Part 1,,none,,,915020500.0,ns,1
Part 1,,none,,,919798300.0,ns,1
Part 1,,none,,,1009473800.0,ns,1
Part 1,,none,,,1008767300.0,ns,1
Part 1,,none,,,1026681500.0,ns,1
Part 1,,none,,,995381200.0,ns,1
Part 1,,none,,,998847400.0,ns,1
Part 1,,none,,,911044500.0,ns,1
Part 1,,none,,,907065100.0,ns,1
Part 1,,none,,,913887000.0,ns,1
Part 1,,none,,,982836600.0,ns,1
Part 1,,none,,,944116100.0,ns,1
Part 1,,none,,,968135200.0,ns,1
Part 1,,none,,,1010320700.0,ns,1
Part 1,,none,,,1031644300.0,ns,1
Part 1,,none,,,1023624000.0,ns,1
Part 1,,none,,,1006051600.0,ns,1
Part 1,,none,,,972660600.0,ns,1
Part 1,,none,,,934394400.0,ns,1
Part 1,,none,,,909816700.0,ns,1
Part 1,,none,,,977682800.0,ns,1
Part 1,,none,,,937983700.0,ns,1
Part 1,,none,,,925396400.0,ns,1
Part 1,,none,,,1037784800.0,ns,1
Part 1,,none,,,1029562200.0,ns,1
Part 1,,none,,,1024103800.0,ns,1
Part 1,,none,,,1082325900.0,ns,1
Part 1,,none,,,1006452900.0,ns,1
Part 1,,none,,,947882500.0,ns,1
Part 1,,none,,,914513400.0,ns,1
Part 1,,none,,,905959400.0,ns,1
Part 1,,none,,,913770300.0,ns,1
Part 1,,none,,,899298000.0,ns,1
Part 1,,none,,,977523000.0,ns,1
Part 1,,none,,,989663800.0,ns,1
Part 1,,none,,,992461800.0,ns,1
Part 1,,none,,,1000726700.0,ns,1
Part 1,,none,,,992757500.0,ns,1
Part 1,,none,,,933628000.0,ns,1
Part 1,,none,,,998533600.0,ns,1
Part 1,,none,,,971189500.0,ns,1
