group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
part1,,input.txt,,,914071300.0,ns,1
part1,,input.txt,,,910413500.0,ns,1
part1,,input.txt,,,909835200.0,ns,1
part1,,input.txt,,,939998400.0,ns,1
part1,,input.txt,,,905643900.0,ns,1
part1,,input.txt,,,962390700.0,ns,1
part1,,input.txt,,,993728900.0,ns,1
part1,,input.txt,,,991552300.0,ns,1
part1,,input.txt,,,1008312800.0,ns,1
part1,,input.txt,,,1001786100.0,ns,1
part1,,input.txt,,,948295400.0,ns,1
part1,,input.txt,,,910694700.0,ns,1
part1,,input.txt,,,895548300.0,ns,1
part1,,input.txt,,,899684700.0,ns,1
part1,,input.txt,,,908459500.0,ns,1
part1,,input.txt,,,909081200.0,ns,1
part1,,input.txt,,,1017110200.0,ns,1
part1,,input.txt,,,1001854000.0,ns,1
part1,,input.txt,,,996435600.0,ns,1
part1,,input.txt,,,993028700.0,ns,1
part1,,input.txt,,,991840200.0,ns,1
part1,,input.txt,,,915506700.0,ns,1
part1,,input.txt,,,897561600.0,ns,1
part1,,input.txt,,,902137700.0,ns,1
part1,,input.txt,,,899825300.0,ns,1
part1,,input.txt,,,896800400.0,ns,1
part1,,input.txt,,,927505100.0,ns,1
part1,,input.txt,,,991515800.0,ns,1
part1,,input.txt,,,993758800.0,ns,1
part1,,input.txt,,,989774200.0,ns,1
part1,,input.txt,,,994793300.0,ns,1
part1,,input.txt,,,970833900.0,ns,1
part1,,input.txt,,,911242900.0,ns,1
part1,,input.txt,,,904220100.0,ns,1
part1,,input.txt,,,912221500.0,ns,1
part1,,input.txt,,,899157700.0,ns,1
part1,,input.txt,,,905810600.0,ns,1
part1,,input.txt,,,967090100.0,ns,1
part1,,input.txt,,,1009904700.0,ns,1
part1,,input.txt,,,999353600.0,ns,1
part1,,input.txt,,,1000497300.0,ns,1
part1,,input.txt,,,1000368800.0,ns,1
part1,,input.txt,,,940293600.0,ns,1
part1,,input.txt,,,892427500.0,ns,1
part1,,input.txt,,,914056100.0,ns,1
part1,,input.txt,,,910509700.0,ns,1
part1,,input.txt,,,908476200.0,ns,1
part1,,input.txt,,,905358800.0,ns,1
part1,,input.txt,,,990648000.0,ns,1
part1,,input.txt,,,987265600.0,ns,1
part1,,input.txt,,,992303900.0,ns,1
part1,,input.txt,,,988909800.0,ns,1
part1,,input.txt,,,997323600.0,ns,1
part1,,input.txt,,,897458900.0,ns,1
part1,,input.txt,,,900169500.0,ns,1
part1,,input.txt,,,902888300.0,ns,1
part1,,input.txt,,,902927500.0,ns,1
part1,,input.txt,,,910570500.0,ns,1
part1,,input.txt,,,929188500.0,ns,1
part1,,input.txt,,,1000010400.0,ns,1
part1,,input.txt,,,1005371200.0,ns,1
part1,,input.txt,,,989056400.0,ns,1
part1,,input.txt,,,985674500.0,ns,1
part1,,input.txt,,,974945700.0,ns,1
part1,,input.txt,,,897001100.0,ns,1
part1,,input.txt,,,898769300.0,ns,1
part1,,input.txt,,,899926400.0,ns,1
part1,,input.txt,,,900427600.0,ns,1
part1,,input.txt,,,909475700.0,ns,1
part1,,input.txt,,,973397800.0,ns,1
part1,,input.txt,,,987921400.0,ns,1
part1,,input.txt,,,1006792500.0,ns,1
part1,,input.txt,,,989504600.0,ns,1
part1,,input.txt,,,992701800.0,ns,1
part1,,input.txt,,,935195800.0,ns,1
part1,,input.txt,,,906863900.0,ns,1
part1,,input.txt,,,902493700.0,ns,1
part1,,input.txt,,,903859400.0,ns,1
part1,,input.txt,,,908571800.0,ns,1
part1,,input.txt,,,915798900.0,ns,1
part1,,input.txt,,,996214100.0,ns,1
part1,,input.txt,,,1001631900.0,ns,1
part1,,input.txt,,,992924500.0,ns,1
part1,,input.txt,,,990738300.0,ns,1
part1,,input.txt,,,991912000.0,ns,1
part1,,input.txt,,,909743100.0,ns,1
part1,,input.txt,,,906378600.0,ns,1
part1,,input.txt,,,898830800.0,ns,1
part1,,input.txt,,,907160000.0,ns,1
part1,,input.txt,,,901015600.0,ns,1
part1,,input.txt,,,933993600.0,ns,1
part1,,input.txt,,,990992000.0,ns,1
part1,,input.txt,,,986549500.0,ns,1
part1,,input.txt,,,1002267800.0,ns,1
part1,,input.txt,,,990278700.0,ns,1
part1,,input.txt,,,976126200.0,ns,1
part1,,input.txt,,,902211900.0,ns,1
part1,,input.txt,,,904561000.0,ns,1
part1,,input.txt,,,900097700.0,ns,1
part1,,input.txt,,,900384000.0,ns,1
